story_id	bytes	mb	ok	error
45707	26893429	25.65	True	-
45708	29078698	27.73	True	-
45709	26893529	25.65	True	-
45710	9322024	8.89	True	-
45711	8893623	8.48	True	-
45712	9322057	8.89	True	-
45713	9322051	8.89	True	-
45714	8893663	8.48	True	-
45715	5101541	4.87	True	-
45716	5210113	4.97	True	-
45717	5101509	4.87	True	-
45718	5210142	4.97	True	-
45719	5101463	4.87	True	-
45720	24743531	23.60	True	-
45721	24836094	23.69	True	-
45722	24743532	23.60	True	-
45723	24836264	23.69	True	-
45724	24836146	23.69	True	-
45725	82998332	79.15	True	-
45726	88173806	84.09	True	-
45727	82998330	79.15	True	-
45728	88173878	84.09	True	-
45729	82998296	79.15	True	-
45730	1686541	1.61	True	-
45731	1450186	1.38	True	-
45732	1686369	1.61	True	-
45733	1450008	1.38	True	-
45734	1450156	1.38	True	-
45735	4700661	4.48	True	-
45736	4486824	4.28	True	-
45737	4700691	4.48	True	-
45738	4700647	4.48	True	-
45739	4700878	4.48	True	-
45740	25778710	24.58	True	-
45741	26172024	24.96	True	-
45742	26171891	24.96	True	-
45743	25778812	24.58	True	-
45744	26171929	24.96	True	-
45745	53370895	50.90	True	-
45746	49492970	47.20	True	-
45747	49493028	47.20	True	-
45748	53370840	50.90	True	-
45749	53370804	50.90	True	-
45750	10824468	10.32	True	-
45751	15276553	14.57	True	-
45752	10824551	10.32	True	-
45753	15276516	14.57	True	-
45754	15276552	14.57	True	-
45755	1115382	1.06	True	-
45756	1249622	1.19	True	-
45757	1115311	1.06	True	-
45758	1115389	1.06	True	-
45759	1249588	1.19	True	-
45760	19017634	18.14	True	-
45761	20664023	19.71	True	-
45762	19017522	18.14	True	-
45763	19017620	18.14	True	-
45764	20663998	19.71	True	-
45765	15072378	14.37	True	-
45766	15239578	14.53	True	-
45767	15072396	14.37	True	-
45768	15072514	14.37	True	-
45769	15072553	14.37	True	-
45770	6628653	6.32	True	-
45771	5828629	5.56	True	-
45772	6628768	6.32	True	-
45773	5828499	5.56	True	-
45774	6628742	6.32	True	-
45775	17210503	16.41	True	-
45776	17071282	16.28	True	-
45777	17071354	16.28	True	-
45778	17210496	16.41	True	-
45779	17071258	16.28	True	-
45780	25075754	23.91	True	-
45781	30435126	29.03	True	-
45782	25075822	23.91	True	-
45783	25075836	23.91	True	-
45784	25075765	23.91	True	-
45785	20743924	19.78	True	-
45786	18357043	17.51	True	-
45787	20743861	19.78	True	-
45788	20744011	19.78	True	-
45789	18356970	17.51	True	-
45790	2481451	2.37	True	-
45791	2490940	2.38	True	-
45792	2481504	2.37	True	-
45793	2490992	2.38	True	-
45794	2491022	2.38	True	-
45795	12379416	11.81	True	-
45796	12778882	12.19	True	-
45797	12778699	12.19	True	-
45798	12379455	11.81	True	-
45799	12379423	11.81	True	-
45800	13141714	12.53	True	-
45801	12371235	11.80	True	-
45802	12371287	11.80	True	-
45803	13141762	12.53	True	-
45804	13141853	12.53	True	-
45805	3702427	3.53	True	-
45806	3591727	3.43	True	-
45807	3702370	3.53	True	-
45808	3702295	3.53	True	-
45809	3702328	3.53	True	-
45810	4928369	4.70	True	-
45811	5376627	5.13	True	-
45812	4928431	4.70	True	-
45813	5376593	5.13	True	-
45814	5376626	5.13	True	-
45815	38960427	37.16	True	-
45816	38272111	36.50	True	-
45817	38960421	37.16	True	-
45818	38960487	37.16	True	-
45819	38960423	37.16	True	-
45820	4956340	4.73	True	-
45821	4997215	4.77	True	-
45822	4956301	4.73	True	-
45823	4956295	4.73	True	-
45824	4956256	4.73	True	-
45825	19071	0.02	True	-
45826	19044	0.02	True	-
45827	19018	0.02	True	-
45828	19048	0.02	True	-
45829	19142	0.02	True	-
45830	24421839	23.29	True	-
45831	15934160	15.20	True	-
45832	24421826	23.29	True	-
45833	24421740	23.29	True	-
45834	24421838	23.29	True	-
45835	27724068	26.44	True	-
45836	25151127	23.99	True	-
45837	27724024	26.44	True	-
45838	25151065	23.99	True	-
45839	27723984	26.44	True	-
45840	14828635	14.14	True	-
45841	11652767	11.11	True	-
45842	14828606	14.14	True	-
45843	14828581	14.14	True	-
45844	14828605	14.14	True	-
45845	11073300	10.56	True	-
45846	23153381	22.08	True	-
45847	11073311	10.56	True	-
45848	23153440	22.08	True	-
45849	11073355	10.56	True	-
45850	2095447	2.00	True	-
45851	2485496	2.37	True	-
45852	2095537	2.00	True	-
45853	2485468	2.37	True	-
45854	2485561	2.37	True	-
45855	17091309	16.30	True	-
45856	17839253	17.01	True	-
45857	17091290	16.30	True	-
45858	17091272	16.30	True	-
45859	17839229	17.01	True	-
45860	2082206	1.99	True	-
45861	294751	0.28	True	-
45862	2082200	1.99	True	-
45863	2082197	1.99	True	-
45864	2082236	1.99	True	-
45865	11253857	10.73	True	-
45866	10481687	10.00	True	-
45867	10481708	10.00	True	-
45868	11253891	10.73	True	-
45869	11253893	10.73	True	-
45870	13040571	12.44	True	-
45871	12744492	12.15	True	-
45872	13040546	12.44	True	-
45873	13040534	12.44	True	-
45874	13040526	12.44	True	-
45875	3382354	3.23	True	-
45876	3368611	3.21	True	-
45877	3368605	3.21	True	-
45878	3382421	3.23	True	-
45879	3382330	3.23	True	-
45880	13387621	12.77	True	-
45881	12803277	12.21	True	-
45882	13387593	12.77	True	-
45883	13387607	12.77	True	-
45884	13387629	12.77	True	-
45885	2030691	1.94	True	-
45886	2752335	2.62	True	-
45887	2030633	1.94	True	-
45888	2030704	1.94	True	-
45889	2030625	1.94	True	-
45890	4961599	4.73	True	-
45891	4844351	4.62	True	-
45892	4961566	4.73	True	-
45893	4844332	4.62	True	-
45894	4844421	4.62	True	-
45895	2699054	2.57	True	-
45896	2705871	2.58	True	-
45897	2699083	2.57	True	-
45898	2705865	2.58	True	-
45899	2705789	2.58	True	-
45900	305528	0.29	True	-
45901	315066	0.30	True	-
45902	305493	0.29	True	-
45903	305560	0.29	True	-
45904	305446	0.29	True	-
45905	1701382	1.62	True	-
45906	1640141	1.56	True	-
45907	1701349	1.62	True	-
45908	1701512	1.62	True	-
45909	1701411	1.62	True	-
45910	13641998	13.01	True	-
45911	14526923	13.85	True	-
45912	13641995	13.01	True	-
45913	14527005	13.85	True	-
45914	13641941	13.01	True	-
45915	6732097	6.42	True	-
45916	7123559	6.79	True	-
45917	6732154	6.42	True	-
45918	6732014	6.42	True	-
45919	6732156	6.42	True	-
45920	1243856	1.19	True	-
45921	1187465	1.13	True	-
45922	1243907	1.19	True	-
45923	1187489	1.13	True	-
45924	1243857	1.19	True	-
45925	8744806	8.34	True	-
45926	13743153	13.11	True	-
45927	13743303	13.11	True	-
45928	8744810	8.34	True	-
45929	8744806	8.34	True	-
45930	1922511	1.83	True	-
45931	2510075	2.39	True	-
45932	1922543	1.83	True	-
45933	1922492	1.83	True	-
45934	1922468	1.83	True	-
45935	37880189	36.13	True	-
45936	42753439	40.77	True	-
45937	37880185	36.13	True	-
45938	37880164	36.13	True	-
45939	37880217	36.13	True	-
45940	675896	0.64	True	-
45941	795351	0.76	True	-
45942	675855	0.64	True	-
45943	795364	0.76	True	-
45944	675849	0.64	True	-
45945	1761465	1.68	True	-
45946	1670803	1.59	True	-
45947	1670858	1.59	True	-
45948	1761449	1.68	True	-
45949	1670909	1.59	True	-
45950	19188635	18.30	True	-
45951	18185024	17.34	True	-
45952	18184996	17.34	True	-
45953	19188652	18.30	True	-
45954	19188675	18.30	True	-
45955	2156309	2.06	True	-
45956	2300626	2.19	True	-
45957	2156239	2.06	True	-
45958	2156290	2.06	True	-
45959	2156213	2.06	True	-
45960	4967565	4.74	True	-
45961	4805869	4.58	True	-
45962	4967633	4.74	True	-
45963	4805933	4.58	True	-
45964	4805923	4.58	True	-
45965	1126453	1.07	True	-
45966	974690	0.93	True	-
45967	1126438	1.07	True	-
45968	1126484	1.07	True	-
45969	1126474	1.07	True	-
45970	98810785	94.23	True	-
45971	111859020	106.68	True	-
45972	98810927	94.23	True	-
45973	98810802	94.23	True	-
45974	111859110	106.68	True	-
45975	579564	0.55	True	-
45976	529791	0.51	True	-
45977	529885	0.51	True	-
45978	579603	0.55	True	-
45979	579483	0.55	True	-
45980	5688265	5.42	True	-
45981	6530474	6.23	True	-
45982	5688223	5.42	True	-
45983	5688313	5.42	True	-
45984	5688246	5.42	True	-
45985	11835624	11.29	True	-
45986	11521742	10.99	True	-
45987	11835698	11.29	True	-
45988	11835560	11.29	True	-
45989	11521818	10.99	True	-
45990	537349	0.51	True	-
45991	646316	0.62	True	-
45992	537172	0.51	True	-
45993	537208	0.51	True	-
45994	646278	0.62	True	-
45995	15149241	14.45	True	-
45996	15112358	14.41	True	-
45997	15112435	14.41	True	-
45998	15149241	14.45	True	-
45999	15112370	14.41	True	-
46000	2355829	2.25	True	-
46001	3166129	3.02	True	-
46002	2355910	2.25	True	-
46003	2355819	2.25	True	-
46004	3166071	3.02	True	-
46005	1011060	0.96	True	-
46006	1110450	1.06	True	-
46007	1110430	1.06	True	-
46008	1110417	1.06	True	-
46009	1010989	0.96	True	-
46010	10858199	10.36	True	-
46011	12081753	11.52	True	-
46012	10858214	10.36	True	-
46013	12081682	11.52	True	-
46014	10858207	10.36	True	-
46015	1609934	1.54	True	-
46016	1568352	1.50	True	-
46017	1609881	1.54	True	-
46018	1568300	1.50	True	-
46019	1609892	1.54	True	-
46020	6534678	6.23	True	-
46021	5294348	5.05	True	-
46022	5294413	5.05	True	-
46023	6534670	6.23	True	-
46024	5294462	5.05	True	-
46025	15339460	14.63	True	-
46026	12374991	11.80	True	-
46027	12374957	11.80	True	-
46028	12375026	11.80	True	-
46029	15339296	14.63	True	-
46030	7613812	7.26	True	-
46031	7924121	7.56	True	-
46032	7923928	7.56	True	-
46033	7613900	7.26	True	-
46034	7614002	7.26	True	-
46035	9606124	9.16	True	-
46036	9758711	9.31	True	-
46037	9606136	9.16	True	-
46038	9758706	9.31	True	-
46039	9606209	9.16	True	-
46040	662020	0.63	True	-
46041	780380	0.74	True	-
46042	662050	0.63	True	-
46043	662033	0.63	True	-
46044	780483	0.74	True	-
46045	1444060	1.38	True	-
46046	1570798	1.50	True	-
46047	1444017	1.38	True	-
46048	1570863	1.50	True	-
46049	1444013	1.38	True	-
46050	4003962	3.82	True	-
46051	3146653	3.00	True	-
46052	4003879	3.82	True	-
46053	4003968	3.82	True	-
46054	4003957	3.82	True	-
46055	9648289	9.20	True	-
46056	12696209	12.11	True	-
46057	12696185	12.11	True	-
46058	12696228	12.11	True	-
46059	9648305	9.20	True	-
46060	4160864	3.97	True	-
46061	3756089	3.58	True	-
46062	4160872	3.97	True	-
46063	4160957	3.97	True	-
46064	4161028	3.97	True	-
46065	788905	0.75	True	-
46066	845075	0.81	True	-
46067	845079	0.81	True	-
46068	788923	0.75	True	-
46069	788909	0.75	True	-
46070	56227949	53.62	True	-
46071	64387634	61.40	True	-
46072	56227992	53.62	True	-
46073	56227929	53.62	True	-
46074	64387617	61.40	True	-
46075	10923810	10.42	True	-
46076	11071913	10.56	True	-
46077	10923778	10.42	True	-
46078	10923906	10.42	True	-
46079	10923853	10.42	True	-
46080	4389272	4.19	True	-
46081	5776549	5.51	True	-
46082	4389259	4.19	True	-
46083	4389249	4.19	True	-
46084	4389308	4.19	True	-
46085	22682571	21.63	True	-
46086	39051420	37.24	True	-
46087	22682666	21.63	True	-
46088	22682650	21.63	True	-
46089	22682565	21.63	True	-
46090	38807923	37.01	True	-
46091	38784568	36.99	True	-
46092	38784525	36.99	True	-
46093	38784558	36.99	True	-
46094	38807911	37.01	True	-
46095	4188216	3.99	True	-
46096	4322895	4.12	True	-
46097	4188222	3.99	True	-
46098	4322897	4.12	True	-
46099	4188339	3.99	True	-
46100	436799	0.42	True	-
46101	482627	0.46	True	-
46102	436863	0.42	True	-
46103	436870	0.42	True	-
46104	436764	0.42	True	-
46105	39005028	37.20	True	-
46106	39053509	37.24	True	-
46107	39005004	37.20	True	-
46108	39053615	37.24	True	-
46109	39053494	37.24	True	-
46110	19114	0.02	True	-
46111	19004	0.02	True	-
46112	19033	0.02	True	-
46113	19079	0.02	True	-
46114	19105	0.02	True	-
46115	14387018	13.72	True	-
46116	16960308	16.17	True	-
46117	14387042	13.72	True	-
46118	14387071	13.72	True	-
46119	14387037	13.72	True	-
46120	51327699	48.95	True	-
46121	33938202	32.37	True	-
46122	51327734	48.95	True	-
46123	51327798	48.95	True	-
46124	51327649	48.95	True	-
46125	12804504	12.21	True	-
46126	12466574	11.89	True	-
46127	12466471	11.89	True	-
46128	12466432	11.89	True	-
46129	12804449	12.21	True	-
46130	1075300	1.03	True	-
46131	1156539	1.10	True	-
46132	1075243	1.03	True	-
46133	1075259	1.03	True	-
46134	1156554	1.10	True	-
46135	10715373	10.22	True	-
46136	11542736	11.01	True	-
46137	10715358	10.22	True	-
46138	10715392	10.22	True	-
46139	10715458	10.22	True	-
46140	13618274	12.99	True	-
46141	13638838	13.01	True	-
46142	13638795	13.01	True	-
46143	13618219	12.99	True	-
46144	13638829	13.01	True	-
46145	26053364	24.85	True	-
46146	15647497	14.92	True	-
46147	26053455	24.85	True	-
46148	26053409	24.85	True	-
46149	26053344	24.85	True	-
46150	22913287	21.85	True	-
46151	23767513	22.67	True	-
46152	22913213	21.85	True	-
46153	22913205	21.85	True	-
46154	22913220	21.85	True	-
46155	1981883	1.89	True	-
46156	2118364	2.02	True	-
46157	1981833	1.89	True	-
46158	1981772	1.89	True	-
46159	1981833	1.89	True	-
46160	5397803	5.15	True	-
46161	4760915	4.54	True	-
46162	5397803	5.15	True	-
46163	5397742	5.15	True	-
46164	5397739	5.15	True	-
46165	2325468	2.22	True	-
46166	1979499	1.89	True	-
46167	2325588	2.22	True	-
46168	2325542	2.22	True	-
46169	2325616	2.22	True	-
46170	4488253	4.28	True	-
46171	5095939	4.86	True	-
46172	4488274	4.28	True	-
46173	4488341	4.28	True	-
46174	5096013	4.86	True	-
46175	22501699	21.46	True	-
46176	23878915	22.77	True	-
46177	22501710	21.46	True	-
46178	22501707	21.46	True	-
46179	22501605	21.46	True	-
46180	7816909	7.45	True	-
46181	10902479	10.40	True	-
46182	10902391	10.40	True	-
46183	7816793	7.45	True	-
46184	7816852	7.45	True	-
46185	2464298	2.35	True	-
46186	2110037	2.01	True	-
46187	2464445	2.35	True	-
46188	2110008	2.01	True	-
46189	2464341	2.35	True	-
46190	14455161	13.79	True	-
46191	15254671	14.55	True	-
46192	14455250	13.79	True	-
46193	14455131	13.79	True	-
46194	15254719	14.55	True	-
46195	36203497	34.53	True	-
46196	36912700	35.20	True	-
46197	36912711	35.20	True	-
46198	36203491	34.53	True	-
46199	36203499	34.53	True	-
46200	4647145	4.43	True	-
46201	4215853	4.02	True	-
46202	4647164	4.43	True	-
46203	4215875	4.02	True	-
46204	4215917	4.02	True	-
46205	1170252	1.12	True	-
46206	1233237	1.18	True	-
46207	1233223	1.18	True	-
46208	1170198	1.12	True	-
46209	1233238	1.18	True	-
46210	13144235	12.54	True	-
46211	13168607	12.56	True	-
46212	13168606	12.56	True	-
46213	13144192	12.54	True	-
46214	13144283	12.54	True	-
46215	4951905	4.72	True	-
46216	5010716	4.78	True	-
46217	4951854	4.72	True	-
46218	5010796	4.78	True	-
46219	5010677	4.78	True	-
46220	252737	0.24	True	-
46221	206625	0.20	True	-
46222	252716	0.24	True	-
46223	252649	0.24	True	-
46224	252728	0.24	True	-
46225	10398314	9.92	True	-
46226	11560587	11.03	True	-
46227	11560656	11.03	True	-
46228	10398179	9.92	True	-
46229	11560604	11.03	True	-
46230	22061389	21.04	True	-
46231	17366537	16.56	True	-
46232	22061374	21.04	True	-
46233	22061276	21.04	True	-
46234	22061279	21.04	True	-
46235	1173415	1.12	True	-
46236	1206975	1.15	True	-
46237	1173527	1.12	True	-
46238	1173444	1.12	True	-
46239	1173467	1.12	True	-
46240	2603818	2.48	True	-
46241	2149973	2.05	True	-
46242	2150066	2.05	True	-
46243	2149956	2.05	True	-
46244	2603794	2.48	True	-
46245	4095530	3.91	True	-
46246	3671470	3.50	True	-
46247	3671564	3.50	True	-
46248	4095405	3.91	True	-
46249	4095389	3.91	True	-
46250	10735904	10.24	True	-
46251	10518621	10.03	True	-
46252	10518743	10.03	True	-
46253	10735949	10.24	True	-
46254	10735899	10.24	True	-
46255	849028	0.81	True	-
46256	981449	0.94	True	-
46257	849144	0.81	True	-
46258	849120	0.81	True	-
46259	981379	0.94	True	-
46260	13989577	13.34	True	-
46261	13104991	12.50	True	-
46262	13989682	13.34	True	-
46263	13989546	13.34	True	-
46264	13104998	12.50	True	-
46265	947357	0.90	True	-
46266	942585	0.90	True	-
46267	947382	0.90	True	-
46268	947347	0.90	True	-
46269	947345	0.90	True	-
46270	6329945	6.04	True	-
46271	4583472	4.37	True	-
46272	6330125	6.04	True	-
46273	6329971	6.04	True	-
46274	6330014	6.04	True	-
46275	1201657	1.15	True	-
46276	1163793	1.11	True	-
46277	1201593	1.15	True	-
46278	1163883	1.11	True	-
46279	1201667	1.15	True	-
46280	1968389	1.88	True	-
46281	1894044	1.81	True	-
46282	1894067	1.81	True	-
46283	1968389	1.88	True	-
46284	1968459	1.88	True	-
46285	6329847	6.04	True	-
46286	6472684	6.17	True	-
46287	6329833	6.04	True	-
46288	6329904	6.04	True	-
46289	6329899	6.04	True	-
46290	84419596	80.51	True	-
46291	93019533	88.71	True	-
46292	84419599	80.51	True	-
46293	84419525	80.51	True	-
46294	84419529	80.51	True	-
46295	88965431	84.84	True	-
46296	89512353	85.37	True	-
46297	88965446	84.84	True	-
46298	88965380	84.84	True	-
46299	88965486	84.84	True	-
46300	3535796	3.37	True	-
46301	3638550	3.47	True	-
46302	3638474	3.47	True	-
46303	3638490	3.47	True	-
46304	3535773	3.37	True	-
46305	28593645	27.27	True	-
46306	28900869	27.56	True	-
46307	28900796	27.56	True	-
46308	28593606	27.27	True	-
46309	28593653	27.27	True	-
46310	4160391	3.97	True	-
46311	5400955	5.15	True	-
46312	4160310	3.97	True	-
46313	4160277	3.97	True	-
46314	4160360	3.97	True	-
46315	21072893	20.10	True	-
46316	19190585	18.30	True	-
46317	21072829	20.10	True	-
46318	21072886	20.10	True	-
46319	21072852	20.10	True	-
46320	12247071	11.68	True	-
46321	12049920	11.49	True	-
46322	12247008	11.68	True	-
46323	12246998	11.68	True	-
46324	12247077	11.68	True	-
46325	28154397	26.85	True	-
46326	26148298	24.94	True	-
46327	28154406	26.85	True	-
46328	26148212	24.94	True	-
46329	28154384	26.85	True	-
46330	-1	-1.00	False	No image found for 4755299024 with extensions: ('jpg', 'jpeg', 'png', 'JPG', 'JPEG', 'PNG')
46331	-1	-1.00	False	No image found for 4755299078 with extensions: ('jpg', 'jpeg', 'png', 'JPG', 'JPEG', 'PNG')
46332	-1	-1.00	False	No image found for 4755299024 with extensions: ('jpg', 'jpeg', 'png', 'JPG', 'JPEG', 'PNG')
46333	-1	-1.00	False	No image found for 4755299078 with extensions: ('jpg', 'jpeg', 'png', 'JPG', 'JPEG', 'PNG')
46334	-1	-1.00	False	No image found for 4755299078 with extensions: ('jpg', 'jpeg', 'png', 'JPG', 'JPEG', 'PNG')
46335	29254016	27.90	True	-
46336	25306731	24.13	True	-
46337	25306757	24.13	True	-
46338	29254060	27.90	True	-
46339	29254015	27.90	True	-
46340	43331176	41.32	True	-
46341	47251779	45.06	True	-
46342	43331103	41.32	True	-
46343	43331131	41.32	True	-
46344	43331137	41.32	True	-
46345	25551818	24.37	True	-
46346	24211109	23.09	True	-
46347	25551655	24.37	True	-
46348	24211180	23.09	True	-
46349	24211128	23.09	True	-
46350	16877761	16.10	True	-
46351	17335468	16.53	True	-
46352	16877661	16.10	True	-
46353	16877707	16.10	True	-
46354	16877645	16.10	True	-
46355	8625631	8.23	True	-
46356	8699306	8.30	True	-
46357	8625597	8.23	True	-
46358	8699093	8.30	True	-
46359	8699062	8.30	True	-
46360	13347671	12.73	True	-
46361	9207600	8.78	True	-
46362	9207665	8.78	True	-
46363	9207665	8.78	True	-
46364	13347647	12.73	True	-
46365	11557253	11.02	True	-
46366	11720325	11.18	True	-
46367	11557140	11.02	True	-
46368	11557177	11.02	True	-
46369	11557380	11.02	True	-
46370	1927038	1.84	True	-
46371	2163955	2.06	True	-
46372	1927007	1.84	True	-
46373	1927036	1.84	True	-
46374	1927056	1.84	True	-
46375	8801201	8.39	True	-
46376	8031850	7.66	True	-
46377	8801243	8.39	True	-
46378	8801144	8.39	True	-
46379	8801156	8.39	True	-
46380	19516508	18.61	True	-
46381	20281076	19.34	True	-
46382	20281136	19.34	True	-
46383	19516554	18.61	True	-
46384	20281050	19.34	True	-
46385	4388459	4.19	True	-
46386	3592026	3.43	True	-
46387	4388421	4.19	True	-
46388	3592043	3.43	True	-
46389	4388473	4.19	True	-
46390	7585715	7.23	True	-
46391	5199377	4.96	True	-
46392	7585738	7.23	True	-
46393	5199476	4.96	True	-
46394	7585652	7.23	True	-
46395	4553674	4.34	True	-
46396	3844451	3.67	True	-
46397	4553658	4.34	True	-
46398	4553718	4.34	True	-
46399	4553686	4.34	True	-
46400	3832853	3.66	True	-
46401	3446755	3.29	True	-
46402	3446758	3.29	True	-
46403	3446699	3.29	True	-
46404	3832813	3.66	True	-
46405	26802147	25.56	True	-
46406	22176783	21.15	True	-
46407	22176827	21.15	True	-
46408	22176733	21.15	True	-
46409	26802099	25.56	True	-
46410	7844784	7.48	True	-
46411	8284076	7.90	True	-
46412	7844706	7.48	True	-
46413	7844753	7.48	True	-
46414	7844781	7.48	True	-
46415	5712112	5.45	True	-
46416	5490722	5.24	True	-
46417	5490783	5.24	True	-
46418	5712037	5.45	True	-
46419	5490672	5.24	True	-
46420	3465368	3.30	True	-
46421	3999999	3.81	True	-
46422	4000015	3.81	True	-
46423	3465250	3.30	True	-
46424	3465233	3.30	True	-
46425	10627090	10.13	True	-
46426	10364148	9.88	True	-
46427	10364122	9.88	True	-
46428	10364120	9.88	True	-
46429	10627110	10.13	True	-
46430	19590619	18.68	True	-
46431	8038255	7.67	True	-
46432	8038230	7.67	True	-
46433	19590594	18.68	True	-
46434	8038272	7.67	True	-
46435	665062	0.63	True	-
46436	423696	0.40	True	-
46437	664904	0.63	True	-
46438	665013	0.63	True	-
46439	664969	0.63	True	-
46440	1653274	1.58	True	-
46441	1619429	1.54	True	-
46442	1619482	1.54	True	-
46443	1653365	1.58	True	-
46444	1619553	1.54	True	-
46445	1279767	1.22	True	-
46446	1452194	1.38	True	-
46447	1452234	1.38	True	-
46448	1452195	1.38	True	-
46449	1279780	1.22	True	-
